実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,167,午後半日休-所定休憩10開始時刻,PMOffBreakStartTime10__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,168,午後半日休-所定休憩6開始時刻,PMOffBreakStartTime6__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,169,午後半日休-所定休憩7開始時刻,PMOffBreakStartTime7__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,170,午後半日休-所定休憩8開始時刻,PMOffBreakStartTime8__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,171,午後半日休-所定休憩9開始時刻,PMOffBreakStartTime9__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,172,午前半日休-所定休憩10終了時刻（就業システム用）,AMOffBreakEndTime10TEX__c,数式 (数値),,,,,-,
,173,午前半日休-所定休憩6終了時刻（就業システム用）,AMOffBreakEndTime6TEX__c,数式 (数値),,,,,-,
,174,午前半日休-所定休憩7終了時刻（就業システム用）,AMOffBreakEndTime7TEX__c,数式 (数値),,,,,-,
,175,午前半日休-所定休憩8終了時刻（就業システム用）,AMOffBreakEndTime8TEX__c,数式 (数値),,,,,-,
,176,午前半日休-所定休憩9終了時刻（就業システム用）,AMOffBreakEndTime9TEX__c,数式 (数値),,,,,-,
,177,午前半日休-所定休憩10開始時刻（就業システム用）,AMOffBreakStartTime10TEX__c,数式 (数値),,,,,-,
,178,午前半日休-所定休憩6開始時刻（就業システム用）,AMOffBreakStartTime6TEX__c,数式 (数値),,,,,-,
,179,午前半日休-所定休憩7開始時刻（就業システム用）,AMOffBreakStartTime7TEX__c,数式 (数値),,,,,-,
,180,午前半日休-所定休憩8開始時刻（就業システム用）,AMOffBreakStartTime8TEX__c,数式 (数値),,,,,-,
,181,午前半日休-所定休憩9開始時刻（就業システム用）,AMOffBreakStartTime9TEX__c,数式 (数値),,,,,-,
,182,所定内午前半日休-所定休憩10,AMOffBreakTime10PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,183,所定内午前半日休-所定休憩6,AMOffBreakTime6PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,184,所定内午前半日休-所定休憩7,AMOffBreakTime7PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,185,所定内午前半日休-所定休憩8,AMOffBreakTime8PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,186,所定内午前半日休-所定休憩9,AMOffBreakTime9PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,187,休憩終了時間10（就業システム用）,BreakEndTime10TEX__c,数式 (数値),,,,,-,
,188,休憩終了時間6（就業システム用）,BreakEndTime6TEX__c,数式 (数値),,,,,-,
,189,休憩終了時間7（就業システム用）,BreakEndTime7TEX__c,数式 (数値),,,,,-,
,190,休憩終了時間8（就業システム用）,BreakEndTime8TEX__c,数式 (数値),,,,,-,
,191,休憩終了時間9（就業システム用）,BreakEndTime9TEX__c,数式 (数値),,,,,-,
,192,休憩開始時間10（就業システム用）,BreakStartTime10TEX__c,数式 (数値),,,,,-,
,193,休憩開始時間6（就業システム用）,BreakStartTime6TEX__c,数式 (数値),,,,,-,
,194,休憩開始時間7（就業システム用）,BreakStartTime7TEX__c,数式 (数値),,,,,-,
,195,休憩開始時間8（就業システム用）,BreakStartTime8TEX__c,数式 (数値),,,,,-,
,196,休憩開始時間9（就業システム用）,BreakStartTime9TEX__c,数式 (数値),,,,,-,
,197,所定内休憩10,BreakTime10PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,198,休憩時間10,BreakTime10__c,数式 (テキスト),,,,,-,
,199,所定内休憩6,BreakTime6PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,200,休憩時間6,BreakTime6__c,数式 (テキスト),,,,,-,
,201,所定内休憩7,BreakTime7PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,202,休憩時間7,BreakTime7__c,数式 (テキスト),,,,,-,
,203,所定内休憩8,BreakTime8PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,204,休憩時間8,BreakTime8__c,数式 (テキスト),,,,,-,
,205,所定内休憩9,BreakTime9PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,206,休憩時間9,BreakTime9__c,数式 (テキスト),,,,,-,
